Timestamps(ms),Latitude,Longitude,f(Arts & Entertainment),f(College & University),f(Event),f(Food),f(Nightlife Spot),f(Outdoors & Recreation),f(Professional & Other Places),f(Residence),f(Shop & Service),f(Travel & Transport)
1406540390674,43.8192430045,11.189146043049998,0.0,12.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,3.0
1406540390674,43.8192430045,11.20064735515,0.0,5.0,0.0,3.0,0.0,3.0,4.0,0.0,3.0,2.0
1406540390674,43.8192430045,11.212148667249998,1.0,0.0,0.0,14.0,3.0,3.0,6.0,0.0,40.0,4.0
1406540390674,43.8192430045,11.22364997935,5.0,1.0,0.0,6.0,1.0,6.0,9.0,1.0,13.0,9.0
1406540390674,43.8192430045,11.235151291449998,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
1406540390674,43.8192430045,11.24665260355,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
1406540390674,43.8192430045,11.258153915649999,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
1406540390674,43.8192430045,11.26965522775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1406540390674,43.8192430045,11.281156539849999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0
1406540390674,43.8192430045,11.29265785195,2.0,0.0,0.0,3.0,0.0,7.0,2.0,2.0,6.0,0.0
1406540390674,43.810195859500006,11.189146043049998,0.0,0.0,0.0,3.0,1.0,1.0,6.0,1.0,12.0,4.0
1406540390674,43.810195859500006,11.20064735515,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0
1406540390674,43.810195859500006,11.212148667249998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1406540390674,43.810195859500006,11.22364997935,1.0,1.0,0.0,2.0,0.0,5.0,29.0,1.0,6.0,9.0
1406540390674,43.810195859500006,11.235151291449998,5.0,3.0,0.0,14.0,3.0,1.0,22.0,13.0,16.0,6.0
1406540390674,43.810195859500006,11.24665260355,2.0,8.0,0.0,7.0,0.0,2.0,25.0,3.0,1.0,3.0
1406540390674,43.810195859500006,11.258153915649999,1.0,3.0,0.0,3.0,0.0,1.0,15.0,4.0,1.0,1.0
1406540390674,43.810195859500006,11.26965522775,0.0,0.0,0.0,1.0,0.0,2.0,7.0,2.0,3.0,5.0
1406540390674,43.810195859500006,11.281156539849999,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0
1406540390674,43.810195859500006,11.29265785195,10.0,1.0,0.0,16.0,4.0,11.0,18.0,2.0,5.0,10.0
1406540390674,43.80114871450001,11.189146043049998,3.0,0.0,0.0,13.0,4.0,0.0,25.0,4.0,30.0,6.0
1406540390674,43.80114871450001,11.20064735515,2.0,1.0,0.0,12.0,4.0,4.0,22.0,1.0,17.0,57.0
1406540390674,43.80114871450001,11.212148667249998,2.0,2.0,0.0,16.0,2.0,6.0,18.0,1.0,21.0,9.0
1406540390674,43.80114871450001,11.22364997935,2.0,2.0,0.0,20.0,2.0,1.0,22.0,7.0,15.0,8.0
