Timestamps(ms),Latitude,Longitude,f(Arts & Entertainment),f(College & University),f(Event),f(Food),f(Nightlife Spot),f(Outdoors & Recreation),f(Professional & Other Places),f(Residence),f(Shop & Service),f(Travel & Transport)
1393522599075,45.35774348391226,9.012991053852822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35774310325298,9.015991438107672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35774264377848,9.018991822296396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35774210548879,9.02199220640659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357741488383894,9.024992590425843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35774079246381,9.027992974341753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35774001772854,9.03099335814191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3577391641781,9.033993741813909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35773823181249,9.036994125345345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35773722063173,9.039994508723806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357736130635814,9.04299489193689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35773496182478,9.04599527497219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1393522599075,45.35773371419862,9.048995657817299,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35773238775736,9.051996040459809,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1393522599075,45.357730982500996,9.054996422887314,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1393522599075,45.35772949842957,9.05799680508741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35772793554308,9.060997187047686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35772629384154,9.06399756875574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35772457332498,9.06699795019916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357722773993416,9.069998331365547,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0
1393522599075,45.35772089584685,9.072998712242487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35771893888534,9.075999092817575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35771690310888,9.07899947307841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357714788517484,9.081999853012578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3577125951112,9.085000232607678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357710322890036,9.0880006118513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357707971854026,9.09100099073104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35770554200318,9.09400136923449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35770303333754,9.097001747349243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35770044585713,9.100002125062893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357697779561974,9.103002502363037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35769503445211,9.106002879237263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35769221052755,9.109003255673166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35768930778835,9.112003631658343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357686326234514,9.115004007180383,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3576832658661,9.118004382226884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35768012668313,9.121004756785435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35767690868563,9.124005130843635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35767361187365,9.127005504389073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35767023624721,9.130005877409346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35766678180636,9.133006249892043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35766324855114,9.136006621824762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35765963648157,9.139006993195096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35765594559771,9.142007363990636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35765217589959,9.14500773419898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35764832738725,9.148008103807719,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
1393522599075,45.35764440006074,9.151008472804445,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
1393522599075,45.35764039392009,9.154008841176758,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0
1393522599075,45.357636308965354,9.157009208912244,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0
1393522599075,45.357632145196575,9.160009575998503,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1393522599075,45.3576279026138,9.163009942423125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1393522599075,45.35762358121707,9.166010308173705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35761918100643,9.169010673237839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35761470198193,9.172011037603117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357610144143635,9.175011401257134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35760550749157,9.178011764187486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35760079202579,9.181012126381766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357595997746365,9.18401248782757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35759112465333,9.187012848512484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35758617274674,9.190013208424112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35758114202666,9.19301356755004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35757603249313,9.196013925877867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35757084414621,9.199014283395186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35756557698596,9.20201464008959,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1393522599075,45.35756023101244,9.205014995948677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35755480622571,9.208015350960032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35754930262581,9.211015705111262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357543720212824,9.214016058389948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3575380589868,9.217016410783692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357532318947804,9.220016762280085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1393522599075,45.35752650009589,9.223017112866728,2.0,0.0,4.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0
1393522599075,45.35752060243114,9.226017462531207,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0
1393522599075,45.357514625953584,9.229017811261116,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
1393522599075,45.35750857066333,9.232018159044056,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
1393522599075,45.357502436560424,9.235018505867618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357496223644915,9.238018851719394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3574899319169,9.241019196586983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35748356137644,9.244019540457975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35747711202359,9.247019883319968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357470583858436,9.250020225160554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35746397688104,9.25302056596733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357457291091485,9.256020905727885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357450526489835,9.25902124442982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357443683076156,9.262021582060726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35743676085054,9.265021918608198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35742975981305,9.268022254059833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35742267996376,9.271022588403222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35741552130277,9.27402292162596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35740828383013,9.277023253715646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35740096754593,9.28002358465987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357393572450256,9.283023914446229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35738609854318,9.286024243062318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35737854582479,9.28902457049573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35737091429516,9.292024896734063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35736320395438,9.29502522176491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35735541480253,9.298025545575864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35734754683969,9.301025868154522,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.357339600065956,9.304026189488479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35733157448142,9.307026509565329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35732347008615,9.310026828372669,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35985880326054,9.012991537918598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35985842257334,9.015992033971692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1393522599075,45.35985796306514,9.018992529958652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359857424735964,9.021993025867069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3598568075858,9.024993521684536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35985611161467,9.027994017398642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35985533682258,9.03099451299698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359854483209524,9.033995008467146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359853550775526,9.036995503796724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35985253952059,9.039995998973314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35985144944473,9.0429964939845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35985028054796,9.04599698881788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35984903283028,9.04899748346104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359847706291724,9.051997977901575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1393522599075,45.35984630093229,9.054998472127075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.359844816752,9.057998966125135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35984325375087,9.060999459883345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359841611928914,9.063999953389295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35983989128615,9.067000446630578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359838091822596,9.070000939594784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35983621353828,9.07300143226951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35983425643322,9.076001924642345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35983222050743,9.079002416700877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359830105760935,9.082002908432703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35982791219375,9.085003399825412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35982563980592,9.088003890866599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359823288597454,9.091004381543847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35982085856838,9.09400487184476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35981834971872,9.097005361756922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35981576204853,9.100005851267927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3598130955578,9.103006340365367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35981035024657,9.106006829036833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35980752611488,9.109007317269917,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1393522599075,45.35980462316275,9.112007805052212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35980164139022,9.115008292371309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1393522599075,45.35979858079733,9.1180087792148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359795441384094,9.121009265570276,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35979222315055,9.124009751425332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35978892609674,9.127010236767557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.359785550222696,9.130010721584544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35978209552847,9.133011205863884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35977856201407,9.13601168959317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1393522599075,45.35977494967956,9.139012172759994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35977125852497,9.142012655351948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35976748855035,9.145013137356623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35976363975571,9.148013618761611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35975971214113,9.151014099554509,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1393522599075,45.35975570570662,9.154014579722901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1393522599075,45.35975162045226,9.157015059254384,4.0,6.0,7.0,2.0,0.0,0.0,6.0,0.0,2.0,2.0
1393522599075,45.35974745637806,9.160015538136548,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
1393522599075,45.35974321348408,9.163016016356988,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1393522599075,45.35973889177038,9.166016493903296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35973449123698,9.16901697076306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35973001188394,9.172017446923874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35972545371131,9.175017922373334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35972081671915,9.178018397099027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35971610090749,9.181018871088549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.3597113062764,9.18401934432949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1393522599075,45.35970643282592,9.187019816809443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
