normalized_density_rnd(Arts & Entertainment),normalized_density_rnd(College & University),normalized_density_rnd(Event),normalized_density_rnd(Food),normalized_density_rnd(Nightlife Spot),normalized_density_rnd(Outdoors & Recreation),normalized_density_rnd(Professional & Other Places),normalized_density_rnd(Residence),normalized_density_rnd(Shop & Service),normalized_density_rnd(Travel & Transport)
0.5624999999999999,0.8076923076923076,0.8,0.411764705882353,0.08,0.0,0.17647058823529413,0.5714285714285714,0.4285714285714286,0.923076923076923
0.25,0.34615384615384615,0.4,0.058823529411764705,0.92,0.0,0.7647058823529411,0.0,1.0,0.8461538461538461
0.375,0.9615384615384615,0.6,0.5294117647058822,0.5199999999999999,0.0,0.0,0.8571428571428571,0.7142857142857143,1.0
0.5624999999999999,0.6153846153846154,0.6,0.5882352941176471,0.48,1.0,0.6470588235294118,0.5714285714285714,0.09523809523809525,0.923076923076923
0.75,0.9230769230769229,0.8,0.7647058823529412,0.68,0.0,0.7058823529411765,0.42857142857142855,0.0,0.4615384615384615
0.1875,0.11538461538461536,0.2,0.23529411764705882,0.04,0.0,0.7647058823529411,0.0,0.14285714285714288,0.6923076923076922
0.8125,0.23076923076923073,0.6,0.5882352941176471,0.5999999999999999,0.0,0.9411764705882353,0.42857142857142855,0.33333333333333337,0.8461538461538461
0.75,0.7692307692307692,0.8,0.7058823529411764,0.0,0.0,0.6470588235294118,0.2857142857142857,0.9523809523809527,0.7692307692307693
0.5624999999999999,0.038461538461538464,0.4,0.7647058823529412,0.64,1.0,0.8823529411764706,1.0,0.8095238095238096,0.6153846153846154
0.9375,0.9615384615384615,1.0,0.8823529411764705,0.5999999999999999,1.0,0.7058823529411765,0.14285714285714285,0.5238095238095238,0.0
0.625,0.6153846153846154,0.0,0.6470588235294117,0.68,0.0,0.29411764705882354,0.7142857142857144,0.4285714285714286,0.7692307692307693
0.5,0.5769230769230769,0.4,0.3529411764705882,0.92,0.0,0.7058823529411765,0.5714285714285714,0.7142857142857143,0.07692307692307693
0.5,0.0,0.0,0.5294117647058822,0.12,1.0,0.058823529411764705,0.42857142857142855,0.1904761904761905,0.0
0.25,1.0,0.8,0.1764705882352941,0.4,1.0,0.0,0.8571428571428571,0.09523809523809525,0.4615384615384615
0.875,0.8846153846153846,0.2,0.7647058823529412,0.4,0.0,0.47058823529411764,1.0,0.9047619047619049,0.5384615384615384
0.375,0.6923076923076923,0.4,0.411764705882353,0.64,1.0,0.0,0.7142857142857144,0.14285714285714288,0.5384615384615384
0.0625,0.15384615384615385,0.6,0.23529411764705882,0.64,1.0,0.6470588235294118,1.0,0.04761904761904762,0.5384615384615384
1.0,0.8846153846153846,0.8,0.5294117647058822,0.7199999999999999,0.0,0.17647058823529413,0.8571428571428571,0.09523809523809525,0.07692307692307693
0.9375,0.6923076923076923,0.0,0.1764705882352941,0.16,0.0,0.6470588235294118,0.8571428571428571,0.6666666666666667,0.923076923076923
0.8125,0.038461538461538464,1.0,0.823529411764706,0.2,1.0,0.35294117647058826,0.8571428571428571,0.8571428571428572,0.5384615384615384
0.25,0.5384615384615384,0.0,0.11764705882352941,0.7199999999999999,0.0,0.23529411764705882,0.7142857142857144,0.380952380952381,0.6923076923076922
1.0,0.6153846153846154,0.0,0.5882352941176471,0.96,0.0,0.058823529411764705,0.0,0.8095238095238096,1.0
0.75,1.0,0.8,0.8823529411764705,0.64,1.0,0.5294117647058824,0.8571428571428571,0.47619047619047633,0.6923076923076922
0.875,0.8846153846153846,0.0,0.058823529411764705,0.68,0.0,0.11764705882352941,0.5714285714285714,0.6666666666666667,0.23076923076923075
0.125,0.34615384615384615,1.0,0.7058823529411764,0.48,0.0,0.4117647058823529,0.14285714285714285,1.0,0.923076923076923
0.0625,0.6538461538461539,0.6,0.3529411764705882,0.64,0.0,0.9411764705882353,0.14285714285714285,0.5238095238095238,0.6923076923076922
0.5,0.7692307692307692,0.8,0.8823529411764705,0.12,1.0,0.5882352941176471,0.7142857142857144,0.28571428571428575,0.38461538461538464
0.0625,0.0,0.4,0.47058823529411764,0.64,1.0,0.29411764705882354,0.8571428571428571,0.1904761904761905,0.15384615384615385
0.75,0.846153846153846,0.4,0.7647058823529412,0.64,1.0,0.7647058823529411,0.7142857142857144,0.47619047619047633,0.23076923076923075
0.125,0.0,0.4,0.1764705882352941,0.5999999999999999,1.0,0.17647058823529413,0.2857142857142857,0.33333333333333337,0.15384615384615385
0.5,1.0,0.0,0.411764705882353,0.27999999999999997,0.0,0.058823529411764705,0.0,0.8095238095238096,1.0
0.5624999999999999,0.23076923076923073,1.0,0.058823529411764705,1.0,0.0,0.5294117647058824,0.5714285714285714,0.7142857142857143,0.923076923076923
1.0,0.6538461538461539,0.4,0.11764705882352941,0.2,1.0,0.8823529411764706,0.0,1.0,0.7692307692307693
0.5624999999999999,0.46153846153846145,0.4,0.9411764705882353,0.4,1.0,0.17647058823529413,0.2857142857142857,0.8571428571428572,0.6153846153846154
0.3125,0.34615384615384615,0.4,0.1764705882352941,0.64,1.0,0.35294117647058826,0.8571428571428571,0.4285714285714286,0.7692307692307693
0.25,0.11538461538461536,0.8,0.5294117647058822,0.5199999999999999,1.0,0.8235294117647058,0.7142857142857144,0.47619047619047633,0.0
0.8125,0.15384615384615385,0.0,0.5294117647058822,0.5599999999999999,0.0,1.0,0.42857142857142855,0.8095238095238096,0.7692307692307693
0.8125,0.3076923076923077,0.2,0.6470588235294117,0.7199999999999999,0.0,1.0,0.5714285714285714,0.23809523809523817,0.7692307692307693
0.8125,0.846153846153846,0.8,1.0,0.35999999999999993,1.0,0.23529411764705882,0.0,0.6666666666666667,0.15384615384615385
0.125,0.34615384615384615,0.6,0.5882352941176471,0.88,0.0,0.35294117647058826,1.0,0.23809523809523817,1.0
0.3125,0.423076923076923,0.6,0.7058823529411764,0.88,0.0,0.47058823529411764,0.14285714285714285,0.47619047619047633,0.07692307692307693
0.375,0.5,0.8,0.6470588235294117,0.84,1.0,0.6470588235294118,0.8571428571428571,0.5714285714285715,0.7692307692307693
0.8125,0.5,1.0,0.5294117647058822,0.32,1.0,0.11764705882352941,0.5714285714285714,1.0,0.6923076923076922
0.3125,0.5384615384615384,0.2,0.3529411764705882,0.5999999999999999,1.0,0.8823529411764706,0.8571428571428571,0.33333333333333337,0.8461538461538461
0.5624999999999999,0.8076923076923076,0.6,1.0,0.8,0.0,0.7058823529411765,0.0,0.8571428571428572,0.6153846153846154
0.75,0.9615384615384615,0.4,0.1764705882352941,0.48,1.0,0.23529411764705882,0.2857142857142857,0.5238095238095238,0.7692307692307693
0.8125,0.2692307692307692,0.0,0.5882352941176471,0.96,1.0,0.5294117647058824,0.2857142857142857,0.4285714285714286,0.38461538461538464
0.9375,0.9615384615384615,1.0,0.0,0.12,0.0,0.17647058823529413,0.14285714285714285,0.4285714285714286,0.7692307692307693
0.1875,0.1923076923076923,0.2,0.5882352941176471,0.48,0.0,1.0,0.7142857142857144,0.0,0.4615384615384615
0.1875,0.7692307692307692,0.2,0.23529411764705882,0.27999999999999997,0.0,0.058823529411764705,0.7142857142857144,0.14285714285714288,0.15384615384615385
0.5,0.9230769230769229,0.2,0.7647058823529412,0.88,1.0,0.17647058823529413,0.14285714285714285,0.6190476190476191,0.923076923076923
0.5,0.9230769230769229,0.4,0.411764705882353,0.4,0.0,0.35294117647058826,0.8571428571428571,0.33333333333333337,0.15384615384615385
0.4375,0.9615384615384615,0.2,0.29411764705882354,0.35999999999999993,0.0,0.6470588235294118,0.8571428571428571,0.761904761904762,0.923076923076923
0.625,1.0,0.2,0.5294117647058822,0.64,1.0,0.8235294117647058,0.2857142857142857,0.04761904761904762,0.4615384615384615
1.0,0.15384615384615385,0.6,0.1764705882352941,0.16,1.0,1.0,1.0,0.09523809523809525,0.5384615384615384
0.25,0.5384615384615384,1.0,0.7647058823529412,1.0,0.0,0.7058823529411765,0.2857142857142857,1.0,0.6923076923076922
0.0,0.8846153846153846,0.4,1.0,0.5199999999999999,1.0,0.29411764705882354,1.0,0.4285714285714286,0.38461538461538464
0.875,0.23076923076923073,0.2,0.5294117647058822,0.16,1.0,0.5882352941176471,0.2857142857142857,0.09523809523809525,0.23076923076923075
0.0,0.34615384615384615,0.0,0.9411764705882353,0.96,1.0,0.8235294117647058,0.8571428571428571,0.47619047619047633,0.7692307692307693
0.8125,0.23076923076923073,1.0,0.823529411764706,0.16,0.0,0.7058823529411765,0.42857142857142855,0.8095238095238096,0.5384615384615384
0.8125,0.038461538461538464,0.0,0.5882352941176471,0.0,1.0,0.7647058823529411,0.14285714285714285,0.1904761904761905,0.6923076923076922
0.3125,0.6923076923076923,1.0,0.1764705882352941,0.68,1.0,0.7647058823529411,0.5714285714285714,0.04761904761904762,1.0
0.1875,0.038461538461538464,0.4,0.11764705882352941,0.5599999999999999,1.0,0.17647058823529413,0.14285714285714285,0.9047619047619049,0.38461538461538464
0.4375,0.6923076923076923,0.4,0.9411764705882353,0.44,0.0,1.0,0.0,0.9047619047619049,0.6923076923076922
0.625,0.038461538461538464,0.2,0.5882352941176471,0.35999999999999993,1.0,0.9411764705882353,0.14285714285714285,0.6666666666666667,0.0
0.375,0.7692307692307692,0.0,0.11764705882352941,0.32,1.0,0.17647058823529413,0.42857142857142855,0.9047619047619049,0.07692307692307693
0.125,0.7692307692307692,0.0,0.29411764705882354,0.44,0.0,0.058823529411764705,0.42857142857142855,0.8571428571428572,0.0
1.0,0.0,0.2,0.6470588235294117,0.12,1.0,0.23529411764705882,0.5714285714285714,0.6666666666666667,0.4615384615384615
0.9375,0.9230769230769229,0.0,0.8823529411764705,0.16,1.0,0.17647058823529413,1.0,0.04761904761904762,0.6923076923076922
0.5624999999999999,1.0,1.0,0.3529411764705882,0.5599999999999999,1.0,0.11764705882352941,0.5714285714285714,0.33333333333333337,0.5384615384615384
0.0,1.0,0.6,0.47058823529411764,0.0,0.0,0.5882352941176471,0.14285714285714285,0.9523809523809527,0.4615384615384615
0.1875,0.038461538461538464,0.6,0.23529411764705882,0.04,1.0,0.5294117647058824,0.5714285714285714,0.28571428571428575,0.07692307692307693
0.1875,0.11538461538461536,0.4,0.7058823529411764,0.08,1.0,0.7647058823529411,0.8571428571428571,0.1904761904761905,1.0
0.75,0.7307692307692307,0.4,0.0,0.96,0.0,0.11764705882352941,1.0,0.9523809523809527,0.0
0.0625,0.5384615384615384,0.8,0.7058823529411764,0.12,1.0,0.4117647058823529,1.0,0.5714285714285715,0.07692307692307693
0.875,0.11538461538461536,0.6,0.1764705882352941,1.0,0.0,0.17647058823529413,0.7142857142857144,0.380952380952381,1.0
0.125,0.038461538461538464,0.8,0.3529411764705882,0.68,1.0,0.9411764705882353,0.14285714285714285,0.33333333333333337,0.38461538461538464
0.875,0.34615384615384615,0.2,0.3529411764705882,0.96,0.0,0.5294117647058824,0.0,0.04761904761904762,0.23076923076923075
0.75,0.423076923076923,0.4,0.823529411764706,0.08,1.0,0.6470588235294118,0.0,0.1904761904761905,0.38461538461538464
0.9375,0.11538461538461536,1.0,0.23529411764705882,0.76,0.0,0.17647058823529413,0.0,0.6666666666666667,0.7692307692307693
0.75,0.3076923076923077,0.4,0.0,0.32,0.0,0.8823529411764706,0.14285714285714285,0.6190476190476191,0.5384615384615384
0.125,0.5769230769230769,0.6,0.411764705882353,0.4,1.0,0.7647058823529411,0.7142857142857144,0.23809523809523817,0.38461538461538464
0.6875,0.5769230769230769,0.4,0.0,0.12,1.0,0.5882352941176471,0.14285714285714285,0.8571428571428572,0.15384615384615385
0.25,0.8846153846153846,1.0,0.0,1.0,0.0,0.47058823529411764,0.42857142857142855,0.7142857142857143,0.8461538461538461
0.375,0.11538461538461536,0.6,0.0,0.88,1.0,0.23529411764705882,0.14285714285714285,1.0,0.5384615384615384
0.3125,0.7692307692307692,0.4,0.1764705882352941,0.92,0.0,0.47058823529411764,0.7142857142857144,0.6190476190476191,1.0
0.75,0.34615384615384615,1.0,0.411764705882353,0.4,0.0,0.11764705882352941,0.42857142857142855,0.380952380952381,0.15384615384615385
0.625,0.038461538461538464,1.0,0.823529411764706,0.96,0.0,0.9411764705882353,0.7142857142857144,0.28571428571428575,0.7692307692307693
0.9375,0.07692307692307693,0.2,0.9411764705882353,0.35999999999999993,0.0,0.8235294117647058,1.0,0.9047619047619049,0.23076923076923075
1.0,0.6923076923076923,0.4,0.8823529411764705,0.76,1.0,0.7058823529411765,1.0,0.14285714285714288,0.923076923076923
0.375,0.5384615384615384,1.0,0.058823529411764705,0.5199999999999999,1.0,0.35294117647058826,0.2857142857142857,0.33333333333333337,1.0
0.125,0.9230769230769229,1.0,0.9411764705882353,0.2,0.0,1.0,0.7142857142857144,0.5238095238095238,0.0
0.75,0.3076923076923077,0.4,0.823529411764706,1.0,0.0,0.17647058823529413,0.42857142857142855,0.8095238095238096,0.3076923076923077
0.0625,0.5,0.4,0.11764705882352941,0.04,1.0,0.7647058823529411,1.0,0.1904761904761905,0.8461538461538461
0.0625,0.846153846153846,0.4,0.1764705882352941,0.84,0.0,0.11764705882352941,0.0,0.23809523809523817,0.4615384615384615
0.3125,0.6153846153846154,0.0,0.6470588235294117,0.4,0.0,0.7058823529411765,0.0,0.761904761904762,0.8461538461538461
0.625,0.11538461538461536,0.0,0.7647058823529412,0.27999999999999997,1.0,0.5882352941176471,1.0,0.14285714285714288,0.3076923076923077
0.1875,0.46153846153846145,0.6,0.411764705882353,0.96,1.0,0.0,0.0,0.6666666666666667,0.15384615384615385
0.6875,0.7307692307692307,0.8,0.9411764705882353,0.27999999999999997,0.0,0.8235294117647058,0.8571428571428571,0.9047619047619049,0.07692307692307693
0.875,0.5384615384615384,0.6,0.411764705882353,0.16,1.0,0.7058823529411765,0.7142857142857144,0.7142857142857143,0.0
