normalized_density_rnd(Arts & Entertainment),normalized_density_rnd(College & University),normalized_density_rnd(Event),normalized_density_rnd(Food),normalized_density_rnd(Nightlife Spot),normalized_density_rnd(Outdoors & Recreation),normalized_density_rnd(Professional & Other Places),normalized_density_rnd(Residence),normalized_density_rnd(Shop & Service),normalized_density_rnd(Travel & Transport)
0.1875,0.5384615384615384,0.0,0.29411764705882354,0.32,0.0,1.0,0.7142857142857143,0.09523809523809525,0.46153846153846156
0.25,0.2692307692307692,0.3999999999999999,0.058823529411764705,0.8399999999999999,1.0,0.15789473684210525,0.2857142857142857,0.761904761904762,0.6923076923076923
0.75,0.423076923076923,0.7999999999999998,0.23529411764705882,0.64,1.0,0.736842105263158,0.7142857142857143,0.9047619047619048,0.7692307692307693
0.75,0.03846153846153846,0.19999999999999996,0.5294117647058822,0.19999999999999998,0.0,0.26315789473684215,0.7142857142857143,0.9523809523809524,0.23076923076923078
0.3125,0.423076923076923,0.19999999999999996,0.8235294117647058,0.7999999999999999,1.0,0.26315789473684215,0.4285714285714285,0.7142857142857143,0.6153846153846154
0.75,0.423076923076923,0.0,0.6470588235294118,0.8399999999999999,1.0,0.4210526315789474,0.2857142857142857,0.3333333333333333,0.3076923076923077
0.1875,0.6538461538461539,0.3999999999999999,0.11764705882352941,0.04,1.0,0.8947368421052632,0.2857142857142857,0.5238095238095237,0.7692307692307693
0.625,0.07692307692307691,0.5999999999999999,0.29411764705882354,0.68,0.0,0.3157894736842105,1.0,0.7142857142857143,0.3076923076923077
0.43749999999999994,0.9615384615384616,0.5999999999999999,0.5882352941176471,0.7999999999999999,1.0,0.4210526315789474,1.0,0.2857142857142857,0.5384615384615384
0.5,0.2692307692307692,0.5999999999999999,0.1764705882352941,0.27999999999999997,1.0,0.6842105263157896,0.4285714285714285,0.14285714285714285,0.9230769230769231
0.6875,0.5,0.7999999999999998,0.5294117647058822,0.68,1.0,0.368421052631579,0.5714285714285714,0.6666666666666666,0.6153846153846154
0.625,0.9230769230769229,0.7999999999999998,0.5294117647058822,0.4799999999999999,0.0,0.8421052631578948,1.0,0.8571428571428571,0.46153846153846156
0.125,0.5769230769230769,0.19999999999999996,0.5294117647058822,0.8399999999999999,1.0,0.26315789473684215,0.5714285714285714,0.2857142857142857,0.6153846153846154
0.43749999999999994,0.34615384615384615,0.0,0.4117647058823529,0.7199999999999999,0.0,0.5263157894736843,1.0,0.9523809523809524,0.0
0.8125,0.30769230769230765,0.7999999999999998,0.5882352941176471,0.5599999999999999,1.0,0.15789473684210525,0.2857142857142857,0.5714285714285714,0.6923076923076923
0.8749999999999999,0.6538461538461539,0.7999999999999998,0.23529411764705882,0.9199999999999999,0.0,0.15789473684210525,1.0,0.2857142857142857,0.15384615384615385
0.0,0.15384615384615383,0.19999999999999996,1.0,0.9199999999999999,0.0,0.15789473684210525,0.14285714285714285,0.4761904761904762,0.9230769230769231
1.0,0.07692307692307691,0.7999999999999998,0.1764705882352941,0.39999999999999997,0.0,0.0,0.0,1.0,0.6923076923076923
0.9375,0.6538461538461539,0.0,0.058823529411764705,0.76,0.0,0.5789473684210527,0.0,0.761904761904762,0.0
0.8749999999999999,0.7307692307692307,0.3999999999999999,0.058823529411764705,0.08,1.0,0.15789473684210525,0.7142857142857143,0.1904761904761905,0.6153846153846154
0.5,0.19230769230769232,0.3999999999999999,0.29411764705882354,0.32,0.0,0.5263157894736843,1.0,0.09523809523809525,0.3076923076923077
0.125,0.23076923076923073,0.5999999999999999,0.23529411764705882,0.8399999999999999,1.0,0.15789473684210525,0.5714285714285714,0.0,0.5384615384615384
0.0,0.5769230769230769,0.19999999999999996,0.11764705882352941,0.27999999999999997,0.0,0.5789473684210527,0.14285714285714285,0.6190476190476191,0.46153846153846156
0.0625,0.5,0.19999999999999996,0.29411764705882354,0.11999999999999998,0.0,0.3157894736842105,0.5714285714285714,0.42857142857142855,0.7692307692307693
0.0,0.46153846153846145,1.0,0.058823529411764705,0.0,0.0,0.5263157894736843,0.5714285714285714,0.2380952380952381,0.6923076923076923
0.8125,0.846153846153846,0.19999999999999996,0.8823529411764705,0.08,0.0,0.8421052631578948,0.2857142857142857,0.2857142857142857,0.6153846153846154
0.1875,0.423076923076923,0.5999999999999999,0.8823529411764705,0.35999999999999993,1.0,0.052631578947368425,0.14285714285714285,0.1904761904761905,0.46153846153846156
0.3125,0.2692307692307692,1.0,1.0,0.8399999999999999,0.0,0.736842105263158,1.0,0.14285714285714285,0.07692307692307693
0.8749999999999999,0.46153846153846145,1.0,0.29411764705882354,0.19999999999999998,1.0,0.736842105263158,0.2857142857142857,0.04761904761904762,0.7692307692307693
0.25,0.423076923076923,0.3999999999999999,0.11764705882352941,0.52,1.0,0.631578947368421,0.5714285714285714,0.4761904761904762,0.07692307692307693
0.3125,0.8076923076923076,0.7999999999999998,0.5882352941176471,0.8399999999999999,0.0,0.9473684210526316,0.857142857142857,0.14285714285714285,0.7692307692307693
0.5625,0.6538461538461539,1.0,0.23529411764705882,0.4799999999999999,0.0,0.0,0.0,1.0,0.15384615384615385
0.43749999999999994,0.07692307692307691,0.7999999999999998,0.7647058823529411,0.04,0.0,0.10526315789473685,0.0,0.3333333333333333,0.9230769230769231
0.1875,0.9615384615384616,0.19999999999999996,0.9411764705882353,0.32,0.0,0.052631578947368425,1.0,0.09523809523809525,0.3076923076923077
0.625,0.03846153846153846,1.0,0.8823529411764705,0.44,0.0,0.052631578947368425,1.0,0.6666666666666666,0.23076923076923078
0.625,0.7307692307692307,0.7999999999999998,0.47058823529411764,0.08,0.0,0.4736842105263158,0.7142857142857143,0.04761904761904762,0.23076923076923078
0.8749999999999999,0.9615384615384616,0.5999999999999999,0.4117647058823529,0.04,0.0,1.0,0.2857142857142857,0.5238095238095237,0.6153846153846154
0.75,0.9230769230769229,0.0,0.5882352941176471,0.6,1.0,0.4736842105263158,1.0,0.0,0.15384615384615385
1.0,0.5769230769230769,0.0,0.23529411764705882,0.9199999999999999,0.0,0.736842105263158,0.857142857142857,0.7142857142857143,0.5384615384615384
0.75,0.5384615384615384,0.7999999999999998,1.0,0.6,0.0,0.8947368421052632,0.857142857142857,1.0,0.6153846153846154
0.625,0.8076923076923076,0.7999999999999998,0.4117647058823529,0.11999999999999998,0.0,0.5789473684210527,0.0,0.9047619047619048,0.07692307692307693
0.625,0.7692307692307693,1.0,0.6470588235294118,0.5599999999999999,0.0,1.0,1.0,0.8571428571428571,0.07692307692307693
0.9375,1.0,0.3999999999999999,0.7647058823529411,0.0,1.0,0.3157894736842105,0.857142857142857,0.6190476190476191,0.6153846153846154
0.8125,0.34615384615384615,0.19999999999999996,0.23529411764705882,0.88,0.0,0.9473684210526316,0.14285714285714285,0.4761904761904762,0.38461538461538464
0.375,0.30769230769230765,0.5999999999999999,0.058823529411764705,0.11999999999999998,1.0,0.8947368421052632,1.0,0.2380952380952381,0.46153846153846156
1.0,0.6923076923076923,0.3999999999999999,0.6470588235294118,0.64,1.0,0.26315789473684215,0.2857142857142857,0.5714285714285714,0.38461538461538464
0.5625,0.19230769230769232,0.5999999999999999,0.1764705882352941,0.68,0.0,0.8947368421052632,0.857142857142857,0.8571428571428571,0.15384615384615385
0.0625,1.0,0.0,0.8823529411764705,0.9199999999999999,1.0,0.3157894736842105,0.857142857142857,0.04761904761904762,0.0
0.25,0.6923076923076923,0.5999999999999999,0.0,0.35999999999999993,1.0,0.368421052631579,0.4285714285714285,0.4761904761904762,0.5384615384615384
0.5625,0.7692307692307693,1.0,0.7058823529411764,0.52,0.0,0.8421052631578948,0.7142857142857143,0.380952380952381,0.7692307692307693
0.0,0.423076923076923,0.7999999999999998,0.8235294117647058,0.44,0.0,0.7894736842105262,1.0,0.6666666666666666,0.15384615384615385
0.0625,0.38461538461538464,0.0,0.7058823529411764,0.6,0.0,0.4736842105263158,0.14285714285714285,0.4761904761904762,0.7692307692307693
0.1875,0.6153846153846153,0.3999999999999999,0.4117647058823529,0.39999999999999997,0.0,0.6842105263157896,0.14285714285714285,0.1904761904761905,1.0
0.0,0.03846153846153846,0.19999999999999996,0.11764705882352941,0.6,0.0,0.052631578947368425,0.4285714285714285,1.0,0.38461538461538464
0.5625,0.6923076923076923,0.5999999999999999,0.29411764705882354,0.23999999999999996,0.0,0.0,0.2857142857142857,1.0,0.3076923076923077
0.0625,1.0,0.3999999999999999,0.11764705882352941,0.19999999999999998,1.0,0.8947368421052632,0.0,0.09523809523809525,0.3076923076923077
0.3125,0.7307692307692307,0.19999999999999996,0.8235294117647058,0.08,1.0,0.0,0.857142857142857,0.3333333333333333,0.5384615384615384
0.0625,0.07692307692307691,0.5999999999999999,0.058823529411764705,0.32,0.0,0.052631578947368425,0.0,0.761904761904762,0.3076923076923077
0.0,0.15384615384615383,0.19999999999999996,0.11764705882352941,0.16,1.0,0.8421052631578948,0.14285714285714285,0.6190476190476191,0.15384615384615385
0.1875,0.23076923076923073,1.0,0.9411764705882353,1.0,0.0,0.368421052631579,1.0,0.1904761904761905,0.5384615384615384
0.6875,0.07692307692307691,0.7999999999999998,0.8235294117647058,0.8399999999999999,0.0,0.15789473684210525,0.7142857142857143,0.8571428571428571,0.3076923076923077
0.375,0.6153846153846153,0.19999999999999996,0.8823529411764705,0.52,0.0,0.0,1.0,0.761904761904762,0.46153846153846156
0.6875,0.0,1.0,0.7647058823529411,0.32,1.0,0.4736842105263158,0.7142857142857143,0.9047619047619048,0.0
0.8125,0.23076923076923073,0.5999999999999999,0.6470588235294118,0.16,0.0,0.052631578947368425,0.4285714285714285,0.14285714285714285,0.7692307692307693
