Latitude,Longitude,normalized_density_rnd(Arts & Entertainment),normalized_density_rnd(College & University),normalized_density_rnd(Event),normalized_density_rnd(Food),normalized_density_rnd(Nightlife Spot),normalized_density_rnd(Outdoors & Recreation),normalized_density_rnd(Professional & Other Places),normalized_density_rnd(Residence),normalized_density_rnd(Shop & Service),normalized_density_rnd(Travel & Transport)
1.0,0.0,0.43749999999999994,0.6153846153846154,0.6,0.588235294117647,0.35999999999999993,1.0,0.21052631578947367,1.0,0.23809523809523814,0.5384615384615384
1.0,0.05263157894736842,0.25,0.8076923076923076,0.7999999999999999,0.4117647058823529,0.24,1.0,0.7894736842105262,1.0,0.38095238095238093,0.7692307692307693
1.0,0.10526315789473684,0.8749999999999999,0.7307692307692308,0.39999999999999997,0.0588235294117647,0.96,1.0,0.0,0.8571428571428571,0.19047619047619047,0.7692307692307693
1.0,0.15789473684210525,0.125,0.15384615384615385,1.0,0.6470588235294117,0.4,1.0,0.42105263157894735,0.14285714285714285,0.7619047619047619,1.0
1.0,0.21052631578947367,0.5625,0.8846153846153847,1.0,0.6470588235294117,0.92,0.0,1.0,0.8571428571428571,0.19047619047619047,0.5384615384615384
1.0,0.2631578947368421,0.75,0.5,0.0,1.0,0.32,0.0,0.42105263157894735,0.14285714285714285,1.0,0.8461538461538463
1.0,0.3157894736842105,0.25,0.5,0.39999999999999997,0.7647058823529411,0.96,0.0,0.6842105263157895,0.5714285714285714,0.38095238095238093,1.0
1.0,0.3684210526315789,0.3125,0.8461538461538463,0.7999999999999999,0.4117647058823529,0.6799999999999999,0.0,0.5789473684210525,0.14285714285714285,0.09523809523809523,0.0
1.0,0.42105263157894735,0.6875,0.0,0.0,0.8235294117647058,0.84,0.0,0.5789473684210525,0.0,0.5714285714285715,0.23076923076923078
1.0,0.47368421052631576,0.8749999999999999,0.3076923076923077,0.19999999999999998,0.8823529411764705,0.6,0.0,0.31578947368421045,0.7142857142857143,0.5238095238095238,0.0
1.0,0.5263157894736842,1.0,0.19230769230769232,1.0,0.0,0.84,0.0,0.6842105263157895,0.14285714285714285,0.0,0.15384615384615385
1.0,0.5789473684210527,0.375,0.07692307692307693,1.0,0.4705882352941176,0.76,1.0,0.6315789473684209,0.7142857142857143,0.8571428571428571,0.15384615384615385
